,Date,Home Team,Away Team,Result,HTeam,HM,HG,HGA,HPTS,HxG,HxGA,HPPDA,HOPPDA,HDC,HODC,HPTS/M,ATeam,AM,AG,AGA,APTS,AxG,AxGA,APPDA,AOPPDA,ADC,AODC,APTS/M
72,14/10/2017,Crystal Palace,Chelsea,"['2 ', ' 1']",Crystal Palace,7,0,17,0,7.15,16.3,13.92,8.56,5.428571428571429,8.428571428571429,0.0,Chelsea,7,12,6,13,7.67,6.22,15.1,13.0,6.0,5.428571428571429,1.8571428571428572
73,14/10/2017,Manchester City,Stoke,"['7 ', ' 2']",Manchester City,7,22,2,19,18.87,4.28,7.35,30.66,13.571428571428571,2.2857142857142856,2.7142857142857144,Stoke,7,7,11,8,7.41,10.65,14.91,8.69,6.285714285714286,7.571428571428571,1.1428571428571428
74,14/10/2017,Swansea,Huddersfield,"['2 ', ' 0']",Swansea,7,3,8,5,5.0,10.61,14.17,9.43,2.4285714285714284,6.428571428571429,0.7142857142857143,Huddersfield,7,5,7,9,5.07,7.88,10.18,11.6,2.857142857142857,4.428571428571429,1.2857142857142858
75,14/10/2017,Tottenham,Bournemouth,"['1 ', ' 0']",Tottenham,7,14,5,14,11.79,4.32,8.03,14.25,9.428571428571429,3.142857142857143,2.0,Bournemouth,7,4,11,4,5.32,11.29,13.07,10.32,7.142857142857143,7.285714285714286,0.5714285714285714
76,14/10/2017,Watford,Arsenal,"['2 ', ' 1']",Watford,7,11,12,12,8.9,12.11,12.84,10.94,4.571428571428571,8.142857142857142,1.7142857142857142,Arsenal,7,11,8,13,13.22,8.11,7.76,16.9,11.714285714285714,3.5714285714285716,1.8571428571428572
77,15/10/2017,Brighton,Everton,"['1 ', ' 1']",Brighton,7,5,9,7,3.52,10.14,19.2,15.01,3.5714285714285716,9.285714285714286,1.0,Everton,7,4,12,7,7.01,8.82,11.31,12.66,6.857142857142857,8.571428571428571,1.0
78,15/10/2017,Southampton,Newcastle United,"['2 ', ' 2']",Southampton,7,5,7,8,8.83,9.82,8.14,14.06,10.0,5.285714285714286,1.1428571428571428,Newcastle United,7,7,6,10,9.71,7.48,14.39,8.11,4.571428571428571,4.857142857142857,1.4285714285714286
79,16/10/2017,Leicester,West Bromwich Albion,"['1 ', ' 1']",Leicester,7,9,12,5,10.09,10.47,14.16,10.59,2.5714285714285716,10.714285714285714,0.7142857142857143,West Bromwich Albion,7,6,8,9,7.07,7.41,16.3,8.51,3.2857142857142856,6.285714285714286,1.2857142857142858
80,20/10/2017,West Ham,Brighton,"['0 ', ' 3']",West Ham,8,8,14,8,7.14,11.0,10.45,9.19,2.375,5.75,1.0,Brighton,8,6,10,8,4.58,11.6,18.6,13.92,4.25,8.75,1.0
81,21/10/2017,Chelsea,Watford,"['4 ', ' 2']",Chelsea,8,13,8,13,8.32,7.74,13.92,12.33,6.0,6.0,1.625,Watford,8,13,13,15,10.53,13.09,13.26,11.02,4.5,8.125,1.875
82,21/10/2017,Huddersfield,Manchester United,"['2 ', ' 1']",Huddersfield,8,5,9,9,5.66,9.53,10.26,11.33,2.875,4.375,1.125,Manchester United,8,21,2,20,18.82,7.14,10.77,13.07,7.625,4.375,2.5
83,21/10/2017,Manchester City,Burnley,"['3 ', ' 0']",Manchester City,8,29,4,22,23.33,4.96,7.07,34.21,14.25,2.25,2.75,Burnley,8,8,6,13,4.83,10.36,13.29,10.03,4.125,8.75,1.625
84,21/10/2017,Newcastle United,Crystal Palace,"['1 ', ' 0']",Newcastle United,8,9,8,11,10.66,9.2,14.83,7.95,4.75,5.375,1.375,Crystal Palace,8,2,18,3,8.67,16.95,13.03,8.52,6.0,8.125,0.375
85,21/10/2017,Stoke,Bournemouth,"['1 ', ' 2']",Stoke,8,9,18,8,8.09,15.11,18.2,8.16,5.75,9.0,1.0,Bournemouth,8,4,12,4,5.49,13.25,15.33,9.4,6.375,8.5,0.5
86,21/10/2017,Swansea,Leicester,"['1 ', ' 2']",Swansea,8,5,8,8,6.66,11.2,13.36,9.57,2.625,6.0,1.0,Leicester,8,10,13,6,11.06,10.63,13.13,10.63,3.125,9.625,0.75
87,21/10/2017,Southampton,West Bromwich Albion,"['1 ', ' 0']",Southampton,8,7,9,9,10.55,10.77,7.98,14.54,9.875,5.375,1.125,West Bromwich Albion,8,7,9,10,7.22,8.38,15.43,8.3,3.125,6.375,1.25
88,22/10/2017,Everton,Arsenal,"['2 ', ' 5']",Everton,8,5,13,8,8.46,9.88,10.95,12.91,6.625,8.625,1.0,Arsenal,8,12,10,13,14.2,9.74,8.2,16.82,11.25,3.625,1.625
